id,titulo,severidad,dominio,tipo,estado_historico,fuente_normativa,evidencia_primaria,impacto_tecnico,impacto_academico,confianza,decision_propuesta,dependencias,criterio_cierre,estado_disputa,evidencia_nivel,causa_raiz,contraevidencia
F-001,Evidencia experimental local ignorada por Git,P1,A01,evidencia,persiste,docs/03_criterios_ingenieria_software.md §reproducibilidad; AGENTS.md,data/.gitignore:1; results/.gitignore:1,Artefactos en data/ y results/ no son versionables ni auditables por terceros desde el repo,Imposible defender reproducibilidad plena ni revisión externa sin copias manuales,alta,Documentar política de evidencia y publicar manifiesto/checksums de artefactos finales de memoria o subset versionado explícito,BL-01,Existe manifiesto versionado con commit+hash de cada artefacto citado en memoria o política formal aceptada por tutor,,validacion,Política .gitignore global (*) sin manifiesto sustituto versionado,README.md:25-26 declara data/ ignorado y describe regeneración; classic_dataset podría versionarse selectivamente
F-002,Matriz comparativa de controladores incompleta,P1,A10,evidencia,nuevo,docs/01_principios_tfg.md §comparación; docs/simulador/validacion.md:56-60,results/comparison_all_runs.csv:1 (solo classic_family_pid y neural_outer_force_*); ausencia results/comparison_closed_loop_v1.csv; tools/summarize_comparison.py:99-126,Faltan filas oracle/transfer/neural_position y CSV unificado documentado,No se puede sostener comparación cuádruple (baseline/oráculo/neural/neural_position) ni transferencia cruzada,alta,Ejecutar fases 9-11 de campaña y regenerar comparison_closed_loop_v1.csv + summarize con todos los controladores,BL-02a; BL-02b; BL-05,comparison_all_runs.csv incluye outer_force_oracle classic_transfer_* neural_position_* y comparison_closed_loop_v1.csv existe con metadata,,validez_experimental,Corridas parciales sin consolidación completa,summarize_comparison.py implementa oracle/transfer/position; outer_force y neural MLP/GRU/LSTM sí presentes localmente
F-003,Metadata de reproducibilidad desalineada con HEAD,P1,A01,evidencia,nuevo,docs/03_criterios_ingenieria_software.md §reproducibilidad; docs/simulador/trazabilidad.md:36,data/classic_dataset/v1/results/hold/hold_g01_P0_nominal_s1042/metrics.json:428-429 (git_commit 0cee096… git_dirty true); git rev-parse HEAD → 560c5a8…,Evidencia local no corresponde al snapshot Git auditado,Conclusiones no reproducibles desde HEAD limpio sin re-ejecución,alta,Re-ejecutar corridas citadas en memoria con working tree limpio y HEAD fijado; verificar metadata,BL-03; BL-06,todos los metrics.json citados tienen git_commit==HEAD y git_dirty==false,,reproducibilidad,Corridas generadas con árbol sucio y commit anterior,app.py:53-54 implementa campos; diseño correcto pero evidencia antigua
F-004,Pipeline neural_position sin artefactos locales,P1,A09,evidencia,persiste,docs/simulador/control_neuronal.md; README.md:79-88,tools/summarize_comparison.py:30 (default data/position_gain_dataset/v1); ausencia data/position_gain_dataset/; ausencia data/neural_control/position_*; tools/run_experimental_campaign.py fase 6,Código y tests OK pero sin dataset/checkpoints/evaluación cerrada,Línea alternativa del TFG no defendible experimentalmente,alta,Ejecutar fases 6-9 campaña para position_gain_dataset y checkpoints position_*,BL-04; BL-07,Existen manifest position_gain_dataset/v1 checkpoints position_* y run_report_neural_position_*.csv,,validez_experimental,Campaña ejecutada solo parcialmente (outer-force),tests/test_neural_position_control.py:7 pruebas pasan; código neural.py:202-239 operativo
F-005,Transferencia cruzada de PID no materializada,P1,A07,evidencia,nuevo,docs/simulador/dataset_clasico.md; README.md:109-110,tools/summarize_comparison.py:72-73 (espera results_transfer); ausencia data/classic_dataset/v1/results_transfer/; tools/run_classic_transfer_dataset.py existe,Tooling listo sin corridas de transferencia,Hipótesis «PID de otra familia» no cuantificada,alta,Ejecutar run_classic_transfer_dataset.py e incluir en comparison,BL-05; BL-02b,results_transfer/ poblado y filas classic_transfer_* en comparison_all_runs.csv,,validez_experimental,Fase 11 campaña no ejecutada,tests/test_campaign_scripts.py:3 valida summarize con transfer simulado
F-006,test_ideal_hover no ejercita convención ENU/FRD nivel,P2,A03,prueba,persiste,docs/02_requisitos_ingenieria_simulador.md §marcos; docs/simulador/trazabilidad.md:15,tests/test_dynamics.py:59 (q0 identidad); tests/test_dynamics.py:27-48 (test_hover_level_frd_thrust_sign separado),Cobertura parcial de signo empuje en integrador,Riesgo residual de regresión de convención no detectada por test nominal,alta,Reescribir test_ideal_hover con get_level_quaternion o fusionar criterios en un solo test,BL-08,test_ideal_hover usa cuaternión nivel ENU/FRD y aserciones equivalentes a thrust -Z_B,,verificacion,Test histórico con identidad unitaria coexistiendo con test nuevo,test_hover_level_frd_thrust_sign ya cubre FRD; no invalida física actual
F-007,Ausencia de estudio sensibilidad a physics_dt_s,P2,A03,fisica,persiste,docs/02_requisitos_ingenieria_simulador.md; SPEC.md §11.1,tests/ sin casos dt/dt2/dt4; búsqueda negativa en tests/ y src/,Sin acotación numérica de error de discretización,Claims sensibles a paso temporal requieren reservas explícitas,media,Añadir tests de convergencia en escenario analítico simple (caída libre/hover),BL-09,Al menos un test compara RMSE o estado final entre dt dt/2 dt/4 bajo tolerancia,,validacion,Alcance v1 no exige estudio formal pero debilita claims de precisión,RK4 y multi-rate implementados correctamente (tests/test_runner.py)
F-008,Descripción plantilla en pyproject.toml,P2,A01,documentacion,persiste,docs/03_criterios_ingenieria_software.md §metadatos,pyproject.toml:4 (description = "Add your description here"),Metadatos del paquete incompletos,Imagen de rigor software menor en defensa,alta,Sustituir por descripción académica del simulador TFG,BL-10,description describe simulador 6DOF TFG en español o inglés,,verificacion,Plantilla uv sin personalizar,README.md:1-3 describe correctamente el proyecto
F-009,TFG_Memoria referencia plan archivado como fuente de verdad,P2,A14,narrativa,persiste,TFG_Memoria/AGENTS.md; docs/plans/archived/README.md:5,TFG_Memoria/AGENTS.md:14 (../docs/plans/plan_experimental… solo en archived/),Riesgo de seguir plan no vigente en redacción,Desalineación narrativa-metodología actual,alta,Actualizar AGENTS.md a docs/simulador/ + README + auditoría vigente,BL-11,AGENTS.md lista solo fuentes vigentes sin rutas bajo archived/ salvo histórico,,documentacion,Ruta plan movida a archived sin actualizar memoria,Plan existe en docs/plans/archived/plan_experimental_y_memoria_tfg_2026-06.md
F-010,README afirma planes activos bajo docs/plans/ inexistentes,P2,A13,documentacion,nuevo,README.md; docs/plans/archived/README.md:5,README.md:141 (docs/plans/ specs vigentes); listado solo docs/plans/archived/*,Lectores buscan specs vigentes en ruta vacía,Confusión gobernanza documental,alta,Corregir README: planes activos en docs/simulador/ y archived/ para histórico,BL-12,README distingue explícitamente archived vs documentación viva,,documentacion,Texto README no actualizado tras archivado masivo,docs/simulador/ contiene especificación operativa actual
